ticker,series,target_date,ts_end,mean_price,close_price,yes_bid_close,yes_ask_close,volume,open_interest
KXHIGHTBOS-26APR14-B73.5,KXHIGHTBOS,2026-04-14,1776175200,0.2103,0.1500,0.1500,0.1600,948.00,1836.00
KXHIGHTBOS-26APR14-B73.5,KXHIGHTBOS,2026-04-14,1776178800,0.1337,0.1000,0.0900,0.1000,789.00,1964.00
KXHIGHTBOS-26APR14-B73.5,KXHIGHTBOS,2026-04-14,1776182400,0.0429,0.0100,0.0000,0.0100,1578.00,3316.00
KXHIGHTBOS-26APR14-B73.5,KXHIGHTBOS,2026-04-14,1776186000,0.0100,0.0100,0.0000,0.0100,93.00,3409.00
KXHIGHTBOS-26APR14-B73.5,KXHIGHTBOS,2026-04-14,1776189600,0.0100,0.0100,0.0000,0.0100,224.00,3513.00
KXHIGHTBOS-26APR15-B70.5,KXHIGHTBOS,2026-04-15,1776250800,0.0915,0.0600,0.0600,0.0900,887.00,1544.00
KXHIGHTBOS-26APR15-B70.5,KXHIGHTBOS,2026-04-15,1776254400,0.0450,0.1000,0.0600,0.0900,789.00,2123.00
KXHIGHTBOS-26APR15-B70.5,KXHIGHTBOS,2026-04-15,1776258000,0.3230,0.5200,0.5000,0.5700,3728.00,3295.00
KXHIGHTBOS-26APR15-B70.5,KXHIGHTBOS,2026-04-15,1776261600,0.3739,0.0100,0.0000,0.0100,4513.00,4312.00
KXHIGHTBOS-26APR15-B70.5,KXHIGHTBOS,2026-04-15,1776265200,0.0100,0.0100,0.0000,0.0100,500.00,4779.00
KXHIGHTBOS-26APR15-B70.5,KXHIGHTBOS,2026-04-15,1776268800,0.0100,0.0100,0.0000,0.0100,566.00,5343.00
KXHIGHTBOS-26APR15-B70.5,KXHIGHTBOS,2026-04-15,1776272400,0.0100,0.0100,0.0000,0.0100,282.00,5625.00
KXHIGHTBOS-26APR15-B70.5,KXHIGHTBOS,2026-04-15,1776276000,0.0100,0.0100,0.0000,0.0100,984.00,6593.00
KXHIGHTBOS-26APR15-B72.5,KXHIGHTBOS,2026-04-15,1776250800,0.0710,0.0300,0.0500,0.0700,735.00,1506.00
KXHIGHTBOS-26APR15-B72.5,KXHIGHTBOS,2026-04-15,1776254400,0.0452,0.0400,0.0400,0.0600,103.00,1505.00
KXHIGHTBOS-26APR15-B72.5,KXHIGHTBOS,2026-04-15,1776258000,0.2083,0.3000,0.2600,0.3100,1639.00,1870.00
KXHIGHTBOS-26APR15-B72.5,KXHIGHTBOS,2026-04-15,1776261600,0.4293,0.7100,0.7000,0.7500,1158.00,2415.00
KXHIGHTBOS-26APR15-B72.5,KXHIGHTBOS,2026-04-15,1776265200,0.6422,0.8400,0.8100,0.8300,1662.00,3084.00
KXHIGHTBOS-26APR15-B72.5,KXHIGHTBOS,2026-04-15,1776268800,0.8373,0.8100,0.7800,0.8300,1880.00,4039.00
KXHIGHTBOS-26APR15-B72.5,KXHIGHTBOS,2026-04-15,1776272400,0.9147,0.9500,0.9400,0.9600,727.00,4113.00
KXHIGHTBOS-26APR15-B72.5,KXHIGHTBOS,2026-04-15,1776276000,0.9707,0.9800,0.9700,0.9800,1930.00,5626.00
KXHIGHTBOS-26APR15-B74.5,KXHIGHTBOS,2026-04-15,1776250800,0.0465,0.0400,0.0500,0.0700,415.00,1046.00
KXHIGHTBOS-26APR15-B74.5,KXHIGHTBOS,2026-04-15,1776254400,0.0342,0.0300,0.0300,0.0400,306.00,1287.00
KXHIGHTBOS-26APR15-B74.5,KXHIGHTBOS,2026-04-15,1776258000,0.0708,0.1200,0.0900,0.1200,960.00,1814.00
KXHIGHTBOS-26APR15-B74.5,KXHIGHTBOS,2026-04-15,1776261600,0.1863,0.2700,0.2300,0.2600,1133.00,2164.00
KXHIGHTBOS-26APR15-B74.5,KXHIGHTBOS,2026-04-15,1776265200,0.2813,0.1600,0.1500,0.1800,850.00,2497.00
KXHIGHTBOS-26APR15-B74.5,KXHIGHTBOS,2026-04-15,1776268800,0.1279,0.2300,0.1700,0.2000,1079.00,3044.00
KXHIGHTBOS-26APR15-B74.5,KXHIGHTBOS,2026-04-15,1776272400,0.0538,0.0400,0.0300,0.0400,1507.00,4082.00
KXHIGHTBOS-26APR15-B74.5,KXHIGHTBOS,2026-04-15,1776276000,0.0271,0.0200,0.0200,0.0300,1609.00,5038.00
KXHIGHTBOS-26APR15-T68,KXHIGHTBOS,2026-04-15,1776250800,0.5149,0.5900,0.5800,0.5900,1813.00,3315.00
KXHIGHTBOS-26APR15-T68,KXHIGHTBOS,2026-04-15,1776254400,0.5875,0.6000,0.5700,0.6700,1509.00,4025.00
KXHIGHTBOS-26APR15-T68,KXHIGHTBOS,2026-04-15,1776258000,0.1858,0.0100,0.0000,0.0100,10454.00,12952.00
KXHIGHTBOS-26APR15-T68,KXHIGHTBOS,2026-04-15,1776261600,0.0100,0.0100,0.0000,0.0100,1202.00,14140.00
KXHIGHTBOS-26APR15-T68,KXHIGHTBOS,2026-04-15,1776265200,,,0.0000,0.0100,0.00,14140.00
KXHIGHTBOS-26APR15-T68,KXHIGHTBOS,2026-04-15,1776268800,0.0100,0.0100,0.0000,0.0100,8.00,14140.00
KXHIGHTBOS-26APR15-T68,KXHIGHTBOS,2026-04-15,1776272400,0.0100,0.0100,0.0000,0.0100,7105.00,21245.00
KXHIGHTBOS-26APR15-T68,KXHIGHTBOS,2026-04-15,1776276000,0.0100,0.0100,0.0000,0.0100,1681.00,22926.00
KXHIGHTBOS-26APR11-B57.5,KXHIGHTBOS,2026-04-11,1775905200,0.1730,0.1600,0.1700,0.1800,165.00,1176.00
KXHIGHTBOS-26APR11-B57.5,KXHIGHTBOS,2026-04-11,1775908800,0.2059,0.1800,0.1700,0.1900,149.00,1246.00
KXHIGHTBOS-26APR11-B57.5,KXHIGHTBOS,2026-04-11,1775912400,0.1694,0.1800,0.1100,0.1400,190.00,1371.00
KXHIGHTBOS-26APR11-B57.5,KXHIGHTBOS,2026-04-11,1775916000,0.0748,0.0800,0.0700,0.0800,217.00,1468.00
KXHIGHTBOS-26APR11-B57.5,KXHIGHTBOS,2026-04-11,1775919600,0.1016,0.1300,0.1200,0.1300,131.00,1554.00
KXHIGHTBOS-26APR11-B57.5,KXHIGHTBOS,2026-04-11,1775923200,0.1300,0.1300,0.1200,0.1400,73.00,1624.00
KXHIGHTBOS-26APR11-B57.5,KXHIGHTBOS,2026-04-11,1775926800,0.1552,0.1500,0.1300,0.1500,873.00,2312.00
KXHIGHTBOS-26APR11-B57.5,KXHIGHTBOS,2026-04-11,1775930400,0.0415,0.0100,0.0000,0.0100,1907.00,4083.00
KXHIGHTBOS-26APR15-B68.5,KXHIGHTBOS,2026-04-15,1776250800,0.2520,0.1700,0.1700,0.1800,471.00,1410.00
KXHIGHTBOS-26APR15-B68.5,KXHIGHTBOS,2026-04-15,1776254400,0.2398,0.2000,0.1900,0.2600,175.00,1514.00
KXHIGHTBOS-26APR15-B68.5,KXHIGHTBOS,2026-04-15,1776258000,0.1610,0.0100,0.0000,0.0100,3869.00,3798.00
KXHIGHTBOS-26APR15-B68.5,KXHIGHTBOS,2026-04-15,1776261600,0.0100,0.0100,0.0000,0.0100,1359.00,5101.00
KXHIGHTBOS-26APR15-B68.5,KXHIGHTBOS,2026-04-15,1776265200,0.0100,0.0100,0.0000,0.0100,1681.00,6782.00
KXHIGHTBOS-26APR15-B68.5,KXHIGHTBOS,2026-04-15,1776268800,0.0100,0.0100,0.0000,0.0100,748.00,7530.00
KXHIGHTBOS-26APR15-B68.5,KXHIGHTBOS,2026-04-15,1776272400,0.0100,0.0100,0.0000,0.0100,513.00,8043.00
KXHIGHTBOS-26APR15-B68.5,KXHIGHTBOS,2026-04-15,1776276000,0.0100,0.0100,0.0000,0.0100,679.00,8719.00
KXHIGHTBOS-26APR16-B65.5,KXHIGHTBOS,2026-04-16,1776337200,0.1220,0.0600,0.0600,0.0700,1030.00,3746.00
KXHIGHTBOS-26APR16-B65.5,KXHIGHTBOS,2026-04-16,1776340800,0.0429,0.0500,0.0500,0.0600,1368.00,4439.00
KXHIGHTBOS-26APR16-B65.5,KXHIGHTBOS,2026-04-16,1776344400,0.0358,0.0200,0.0100,0.0800,3007.00,6262.00
KXHIGHTBOS-26APR16-B65.5,KXHIGHTBOS,2026-04-16,1776348000,0.0324,0.0200,0.0200,0.0300,139.00,6271.00
KXHIGHTBOS-26APR16-B65.5,KXHIGHTBOS,2026-04-16,1776351600,0.0170,0.0200,0.0200,0.0300,37.00,6270.00
KXHIGHTBOS-26APR16-B65.5,KXHIGHTBOS,2026-04-16,1776355200,0.0298,0.0500,0.0300,0.0500,59.00,6295.00
KXHIGHTBOS-26APR16-B65.5,KXHIGHTBOS,2026-04-16,1776358800,0.0239,0.0200,0.0100,0.0200,144.00,6387.00
KXHIGHTBOS-26APR16-B65.5,KXHIGHTBOS,2026-04-16,1776362400,0.0396,0.0200,0.0100,0.0200,183.77,6459.00
KXHIGHTBOS-26APR16-B67.5,KXHIGHTBOS,2026-04-16,1776337200,0.0337,0.0400,0.0400,0.0500,1387.00,3297.00
KXHIGHTBOS-26APR16-B67.5,KXHIGHTBOS,2026-04-16,1776340800,0.0436,0.0600,0.0500,0.0600,427.00,3568.00
KXHIGHTBOS-26APR16-B67.5,KXHIGHTBOS,2026-04-16,1776344400,0.0350,0.0200,0.0100,0.0200,1885.00,4709.00
KXHIGHTBOS-26APR16-B67.5,KXHIGHTBOS,2026-04-16,1776348000,0.0100,0.0100,0.0100,0.0200,4.00,4709.00
KXHIGHTBOS-26APR16-B67.5,KXHIGHTBOS,2026-04-16,1776351600,0.0207,0.0200,0.0100,0.0200,234.00,4735.00
KXHIGHTBOS-26APR16-B67.5,KXHIGHTBOS,2026-04-16,1776355200,0.0279,0.0300,0.0300,0.0900,33.83,4764.83
KXHIGHTBOS-26APR16-B67.5,KXHIGHTBOS,2026-04-16,1776358800,0.0295,0.0200,0.0200,0.0300,258.00,4893.83
KXHIGHTBOS-26APR16-B67.5,KXHIGHTBOS,2026-04-16,1776362400,0.0174,0.0300,0.0100,0.0200,457.95,5162.33
KXHIGHTBOS-26APR15-T75,KXHIGHTBOS,2026-04-15,1776250800,0.0415,0.0300,0.0200,0.0300,450.00,2402.00
KXHIGHTBOS-26APR15-T75,KXHIGHTBOS,2026-04-15,1776254400,0.0238,0.0200,0.0200,0.0600,206.00,2597.00
KXHIGHTBOS-26APR15-T75,KXHIGHTBOS,2026-04-15,1776258000,0.0512,0.0700,0.0700,0.0800,1020.00,3032.00
KXHIGHTBOS-26APR15-T75,KXHIGHTBOS,2026-04-15,1776261600,0.0568,0.0500,0.0400,0.0500,352.00,3178.00
KXHIGHTBOS-26APR15-T75,KXHIGHTBOS,2026-04-15,1776265200,0.1240,0.0300,0.0400,0.0600,1372.00,4154.00
KXHIGHTBOS-26APR15-T75,KXHIGHTBOS,2026-04-15,1776268800,0.0424,0.0100,0.0100,0.0200,1203.00,5005.00
KXHIGHTBOS-26APR15-T75,KXHIGHTBOS,2026-04-15,1776272400,0.0121,0.0100,0.0000,0.0200,1914.00,5485.00
KXHIGHTBOS-26APR15-T75,KXHIGHTBOS,2026-04-15,1776276000,0.0154,0.0100,0.0100,0.0200,126.00,5559.00
KXHIGHTBOS-26APR16-T63,KXHIGHTBOS,2026-04-16,1776337200,0.5252,0.6000,0.5800,0.6000,733.00,3329.00
KXHIGHTBOS-26APR16-T63,KXHIGHTBOS,2026-04-16,1776340800,0.6445,0.6800,0.6200,0.7000,811.00,3745.00
KXHIGHTBOS-26APR16-T63,KXHIGHTBOS,2026-04-16,1776344400,0.7458,0.8000,0.7600,0.8000,1814.00,5009.00
KXHIGHTBOS-26APR16-T63,KXHIGHTBOS,2026-04-16,1776348000,0.8665,0.8600,0.8100,0.8800,2343.00,5890.00
KXHIGHTBOS-26APR16-T63,KXHIGHTBOS,2026-04-16,1776351600,0.8577,0.8600,0.8200,0.8600,266.71,6069.71
KXHIGHTBOS-26APR16-T63,KXHIGHTBOS,2026-04-16,1776355200,0.8162,0.7800,0.7800,0.8300,435.83,6138.68
KXHIGHTBOS-26APR16-T63,KXHIGHTBOS,2026-04-16,1776358800,0.9104,0.8500,0.8400,0.8700,2191.24,7521.63
KXHIGHTBOS-26APR16-T63,KXHIGHTBOS,2026-04-16,1776362400,0.9028,0.9300,0.8700,0.9300,564.61,7988.26
KXHIGHTBOS-26APR16-T70,KXHIGHTBOS,2026-04-16,1776337200,0.0392,0.0200,0.0100,0.0800,1479.00,3598.00
KXHIGHTBOS-26APR16-T70,KXHIGHTBOS,2026-04-16,1776340800,0.0394,0.0500,0.0500,0.0600,873.00,4312.00
KXHIGHTBOS-26APR16-T70,KXHIGHTBOS,2026-04-16,1776344400,0.0283,0.0500,0.0400,0.0500,696.00,4535.00
KXHIGHTBOS-26APR16-T70,KXHIGHTBOS,2026-04-16,1776348000,0.0234,0.0100,0.0100,0.0200,1124.00,5258.00
KXHIGHTBOS-26APR16-T70,KXHIGHTBOS,2026-04-16,1776351600,0.0100,0.0100,0.0000,0.0200,201.00,5446.00
KXHIGHTBOS-26APR16-T70,KXHIGHTBOS,2026-04-16,1776355200,,,0.0000,0.0200,0.00,5446.00
KXHIGHTBOS-26APR16-T70,KXHIGHTBOS,2026-04-16,1776358800,0.0100,0.0100,0.0000,0.0100,41.00,5413.00
KXHIGHTBOS-26APR16-T70,KXHIGHTBOS,2026-04-16,1776362400,0.0100,0.0100,0.0000,0.0100,23.00,5390.00
KXHIGHTBOS-26APR16-B63.5,KXHIGHTBOS,2026-04-16,1776337200,0.1601,0.1600,0.1200,0.1600,1155.00,1475.00
KXHIGHTBOS-26APR16-B63.5,KXHIGHTBOS,2026-04-16,1776340800,0.1013,0.0700,0.0600,0.0700,502.00,1794.00
KXHIGHTBOS-26APR16-B63.5,KXHIGHTBOS,2026-04-16,1776344400,0.0964,0.0800,0.0600,0.0700,3033.00,3921.00
KXHIGHTBOS-26APR16-B63.5,KXHIGHTBOS,2026-04-16,1776348000,0.0667,0.0600,0.0700,0.0800,925.00,4211.00
KXHIGHTBOS-26APR16-B63.5,KXHIGHTBOS,2026-04-16,1776351600,0.0710,0.0800,0.0800,0.1100,472.13,4333.13
KXHIGHTBOS-26APR16-B63.5,KXHIGHTBOS,2026-04-16,1776355200,0.0892,0.0900,0.0800,0.1000,238.66,4463.67
KXHIGHTBOS-26APR16-B63.5,KXHIGHTBOS,2026-04-16,1776358800,0.0645,0.0500,0.0400,0.0500,231.63,4557.03
KXHIGHTBOS-26APR16-B63.5,KXHIGHTBOS,2026-04-16,1776362400,0.0712,0.0700,0.0500,0.0600,285.24,4766.70
KXHIGHTBOS-26APR17-B65.5,KXHIGHTBOS,2026-04-17,1776423600,0.0534,0.0800,0.0100,0.0700,366.00,1936.89
KXHIGHTBOS-26APR17-B65.5,KXHIGHTBOS,2026-04-17,1776427200,0.0643,0.0500,0.0100,0.0700,54.00,1972.89
KXHIGHTBOS-26APR17-B65.5,KXHIGHTBOS,2026-04-17,1776430800,0.0448,0.0100,0.0300,0.0600,171.00,2127.11
KXHIGHTBOS-26APR17-B65.5,KXHIGHTBOS,2026-04-17,1776434400,0.0249,0.0300,0.0100,0.0300,511.14,2400.52
KXHIGHTBOS-26APR17-B65.5,KXHIGHTBOS,2026-04-17,1776438000,0.0255,0.0400,0.0300,0.0400,522.69,2546.70
KXHIGHTBOS-26APR17-B65.5,KXHIGHTBOS,2026-04-17,1776441600,0.0323,0.0300,0.0300,0.0400,267.48,2800.00
KXHIGHTBOS-26APR17-B65.5,KXHIGHTBOS,2026-04-17,1776445200,0.0297,0.0200,0.0100,0.0200,87.70,2883.70
KXHIGHTBOS-26APR17-B65.5,KXHIGHTBOS,2026-04-17,1776448800,0.0174,0.0500,0.0000,0.0400,484.61,3150.70
KXHIGHTBOS-26APR16-B69.5,KXHIGHTBOS,2026-04-16,1776337200,0.0375,0.0500,0.0100,0.0500,763.00,3290.00
KXHIGHTBOS-26APR16-B69.5,KXHIGHTBOS,2026-04-16,1776340800,0.0394,0.0500,0.0500,0.0600,433.00,3503.00
KXHIGHTBOS-26APR16-B69.5,KXHIGHTBOS,2026-04-16,1776344400,0.0295,0.0300,0.0200,0.0300,1149.00,4444.00
KXHIGHTBOS-26APR16-B69.5,KXHIGHTBOS,2026-04-16,1776348000,0.0200,0.0200,0.0100,0.0200,46.00,4444.00
KXHIGHTBOS-26APR16-B69.5,KXHIGHTBOS,2026-04-16,1776351600,0.0100,0.0100,0.0100,0.0200,37.00,4481.00
KXHIGHTBOS-26APR16-B69.5,KXHIGHTBOS,2026-04-16,1776355200,0.0100,0.0100,0.0100,0.0200,1.00,4481.00
